Company,Company Score,Job Title,Location,Date,Salary
229,0.5789473684210527,215,35,9d,179
418,0.368421052631579,89,125,30d+,539
47,0.6315789473684208,22,235,1d,161
191,0.9473684210526319,272,306,16d,249
1,0.5263157894736841,106,301,11d,12
6,0.1578947368421053,34,103,30d+,239
555,0.6315789473684208,371,252,30d+,238
101,0.368421052631579,287,211,10d,176
477,0.4736842105263157,187,65,5d,278
585,0.6315789473684208,453,105,30d+,115
206,0.3157894736842106,294,33,12d,72
227,0.5789473684210527,242,6,25d,332
364,0.6315789473684208,382,293,30d+,45
429,0.5789473684210527,46,63,5d,564
596,0.4736842105263157,79,158,2d,369
388,0.052631578947368585,2,60,4d,137
484,0.5263157894736841,42,126,12d,228
206,0.6315789473684208,200,83,3d,558
351,0.26315789473684204,495,265,2d,132
83,0.3157894736842106,371,204,18d,476
609,0.368421052631579,123,33,30d+,426
76,0.4736842105263157,365,88,3d,144
43,0.42105263157894757,480,68,3d,460
464,0.5789473684210527,29,279,30d+,157
219,0.6842105263157894,95,204,4d,574
181,0.4736842105263157,445,23,4d,49
334,0.6315789473684208,338,76,16d,329
374,0.7894736842105265,172,296,30d+,77
428,0.8947368421052628,294,46,16d,105
288,0.6315789473684208,166,293,17d,84
196,0.368421052631579,188,54,5d,181
559,0.9473684210526319,109,11,30d+,69
252,0.4736842105263157,177,166,24h,617
358,0.26315789473684204,193,265,30d+,9
375,0.6315789473684208,49,102,11d,516
98,0.42105263157894757,323,110,1d,298
74,0.3157894736842106,296,180,30d+,416
323,0.736842105263158,467,299,30d+,119
252,0.3157894736842106,371,60,3d,616
389,0.5789473684210527,119,297,11d,492
208,0.6315789473684208,84,102,14d,472
141,0.3157894736842106,272,16,2d,237
52,0.5263157894736841,111,35,30d+,212
13,0.5263157894736841,443,56,2d,99
507,0.8947368421052628,390,228,27d,340
455,0.4736842105263157,294,224,16d,110
408,0.5789473684210527,294,218,23d,30
328,0.42105263157894757,218,34,22d,183
238,0.5789473684210527,154,118,30d+,585
43,0.6842105263157894,215,36,18d,590
183,0.42105263157894757,215,42,2d,148
291,0.3157894736842106,284,286,3d,6
